api_id,endpoint,method,version,status_hint,auth_type,data_fields,has_pii,in_swagger,last_called_date,daily_avg_calls,created_date,last_modified,owner_git_user,team,environment,last_commit_msg,risk_score,deprecated_flag,classification,days_silent,severity,recommended_action,pii_fields_found,git_author,git_last_commit,git_message,ml_predicted_class,ml_confidence,ml_anomaly_score,ml_risk_score,ml_rule_agreement
UBI-API-0015,/internal/v1/statements/submit,GET,v2,zombie,api_key,name|upi_id|interest_rate,0,1,2025-03-08,0,2022-08-09,2026-02-27,priya.iyer,KYC & Compliance,prod,update docs,50,1,Zombie,443,High,"Schedule decommission — raise Jira ticket, notify owner",,priya.iyer,2026-02-11,update docs,Zombie,1.0,72.5,76.2,1
UBI-API-0016,/internal/v1/branch/delete,GET,legacy,zombie,none,dob|balance|account_number|transaction_id,1,1,2024-08-07,0,2023-11-11,2025-06-07,priya.iyer,Security,prod,fix auth bug,100,0,Zombie,656,Critical,Immediate decommission — high-risk stale endpoint,balance|account_number|dob,priya.iyer,2025-05-22,fix auth bug,Zombie,0.992,38.2,68.8,1
UBI-API-0017,/api/v1/payments/sync,GET,v2,zombie,oauth2,interest_rate|email|branch_id|nominee_details|balance,1,1,2025-06-12,0,2025-03-15,2025-05-06,sneha.patel,KYC & Compliance,prod,hotfix prod issue,54,0,Zombie,347,High,"Schedule decommission — raise Jira ticket, notify owner",balance|nominee_details,sneha.patel,2025-04-29,hotfix prod issue,Zombie,0.975,20.3,50.2,1
UBI-API-0018,/internal/v1/upi/fetch,POST,v2,borderline,api_key,phone|branch_id,0,1,2026-04-07,1871,2022-05-11,2026-04-16,ananya.sharma,Payments,prod,merge feature branch,35,0,Borderline,48,Medium,Monitor closely — review with team within 7 days,,ananya.sharma,2026-04-05,merge feature branch,Active,0.5,24.2,34.1,0
UBI-API-0019,/legacy/v1/customers/validate,POST,v3,shadow,api_key,amount|address|pan_number|interest_rate,1,0,2026-05-06,18,2021-11-08,2026-03-10,ananya.sharma,Security,prod,merge feature branch,57,0,Shadow,19,High,"Immediate audit — undocumented endpoint, document or block",pan_number,ananya.sharma,2026-02-16,merge feature branch,Shadow,0.975,49.7,65.5,1
UBI-API-0020,/api/v3/employees/verify,PATCH,v1,active,oauth2,name,0,1,2026-05-21,5763,2024-10-22,2026-01-09,sneha.patel,Payments,dev,deprecation notice added,10,0,Active,4,Low,No action needed — healthy endpoint,,sneha.patel,2026-01-04,deprecation notice added,Active,0.967,51.5,56.8,1
UBI-API-0021,/api/v3/upi/fetch,PATCH,v2,active,none,nominee_details|aadhaar_number|dob|balance,1,1,2026-05-13,5509,2023-11-19,2024-01-29,kavya.reddy,Core Banking,dev,add rate limiting,80,0,Active,12,Critical,No action needed — healthy endpoint,aadhaar_number|balance|nominee_details|dob,kavya.reddy,2024-01-01,add rate limiting,Active,0.975,46.3,68.4,1
UBI-API-0022,/internal/v1/beneficiaries/submit,GET,v2,active,mtls,loan_amount|address|branch_id,0,1,2026-05-18,6311,2023-10-28,2025-09-07,arjun.mehta,Loans,prod,add rate limiting,4,0,Active,7,Low,No action needed — healthy endpoint,,arjun.mehta,2025-08-28,add rate limiting,Active,0.975,36.6,48.3,1
UBI-API-0023,/api/v2/notifications/fetch,PUT,legacy,active,jwt,account_number|address|nominee_details|aadhaar_number|branch_id,1,1,2026-05-10,8475,2025-04-02,2025-07-20,suresh.bose,Digital Channels,prod,refactor logic,47,0,Active,15,Medium,No action needed — healthy endpoint,aadhaar_number|account_number|nominee_details,suresh.bose,2025-07-01,refactor logic,Active,0.933,26.1,50.4,1
UBI-API-0024,/legacy/v1/kyc/submit,GET,v1,borderline,oauth2,upi_id|transaction_id|customer_id|pan_number|address,1,1,2026-04-22,1293,2022-11-02,2025-07-02,deepak.nair,Analytics,prod,fix auth bug,27,0,Borderline,33,Medium,Monitor closely — review with team within 7 days,pan_number,deepak.nair,2025-06-27,fix auth bug,Borderline,0.833,29.4,45.1,1
UBI-API-0025,/legacy/v1/upi/submit,PATCH,v2,shadow,api_key,credit_score|ifsc_code|pan_number|email,1,0,2026-05-12,4,2024-05-14,2025-09-01,ananya.sharma,Analytics,prod,merge feature branch,69,0,Shadow,13,High,"Immediate audit — undocumented endpoint, document or block",pan_number|credit_score,ananya.sharma,2025-08-23,merge feature branch,Shadow,0.933,50.1,66.8,1
UBI-API-0026,/internal/v1/pan-verify/get,DELETE,legacy,zombie,api_key,loan_amount|interest_rate|transaction_id|employee_id,0,1,2025-09-13,0,2024-02-16,2025-05-21,suresh.bose,Analytics,dev,merge feature branch,50,0,Zombie,254,High,"Schedule decommission — raise Jira ticket, notify owner",,suresh.bose,2025-05-21,merge feature branch,Zombie,0.917,70.2,72.6,1
UBI-API-0027,/api/v2/credit-score/sync,DELETE,v3,shadow,mtls,dob|employee_id,1,0,2026-05-02,6,2023-04-04,2026-04-14,rohit.verma,Security,prod,update response schema,32,0,Shadow,23,Medium,"Immediate audit — undocumented endpoint, document or block",dob,sneha.patel,2024-01-31,refactor logic,Shadow,0.925,66.3,67.3,1
UBI-API-0028,/api/v2/payments/update,DELETE,legacy,active,mtls,aadhaar_number|customer_id,1,1,2026-05-11,6983,2021-10-24,2022-12-21,kavya.reddy,Loans,prod,add rate limiting,16,0,Active,14,Low,No action needed — healthy endpoint,aadhaar_number,kavya.reddy,2022-12-10,add rate limiting,Active,0.992,21.9,43.9,1
UBI-API-0029,/legacy/v1/reports/approve,GET,v2,shadow,basic_auth,credit_score|account_number|amount|address,1,0,2026-04-22,28,2022-09-11,2024-03-22,kavya.reddy,Analytics,staging,add rate limiting,64,0,Shadow,33,High,"Immediate audit — undocumented endpoint, document or block",account_number|credit_score,kavya.reddy,2024-03-17,add rate limiting,Shadow,0.925,65.0,73.0,1
UBI-API-0030,/legacy/v1/accounts/verify,PUT,v1,active,mtls,phone|employee_id|email|account_number,1,1,2026-05-04,7664,2023-11-13,2024-03-30,kavya.reddy,Digital Channels,dev,initial commit,15,0,Active,21,Low,No action needed — healthy endpoint,account_number,kavya.reddy,2024-03-01,initial commit,Active,0.975,38.5,51.5,1
UBI-API-0031,/api/v2/customers/delete,DELETE,legacy,active,oauth2,employee_id|transaction_id,0,1,2026-05-16,417,2021-12-03,2024-07-23,arjun.mehta,Analytics,staging,deprecation notice added,15,0,Active,9,Low,No action needed — healthy endpoint,,arjun.mehta,2024-06-25,deprecation notice added,Active,0.933,59.9,61.0,1
UBI-API-0032,/internal/v1/customers/export,POST,v2,zombie,mtls,balance,1,1,2025-06-23,0,2022-03-04,2024-10-28,ananya.sharma,Payments,prod,initial commit,37,1,Zombie,336,Medium,"Schedule decommission — raise Jira ticket, notify owner",balance,ananya.sharma,2024-10-22,initial commit,Zombie,1.0,72.5,73.6,1
UBI-API-0033,/internal/v1/aadhaar/validate,PUT,v1,zombie,oauth2,upi_id|name,0,1,2025-04-09,0,2024-09-10,2025-09-29,priya.iyer,KYC & Compliance,prod,update docs,30,0,Zombie,411,Medium,"Schedule decommission — raise Jira ticket, notify owner",,priya.iyer,2025-09-10,update docs,Zombie,0.975,47.7,59.1,1
UBI-API-0034,/api/v2/loans/fetch,POST,v1,zombie,none,upi_id|name|balance,1,1,2024-09-22,0,2025-02-04,2025-07-28,arjun.mehta,Digital Channels,staging,hotfix prod issue,77,0,Zombie,610,Critical,Immediate decommission — high-risk stale endpoint,balance,arjun.mehta,2025-07-10,hotfix prod issue,Zombie,0.983,38.2,64.0,1
UBI-API-0035,/legacy/v1/branch/get,DELETE,legacy,zombie,oauth2,email|branch_id|phone|loan_amount,0,1,2024-12-03,0,2024-10-14,2025-07-15,sneha.patel,Digital Channels,dev,refactor logic,30,0,Zombie,538,Medium,"Schedule decommission — raise Jira ticket, notify owner",,sneha.patel,2025-06-16,refactor logic,Zombie,0.992,64.4,68.0,1
UBI-API-0036,/api/v2/loans/delete,DELETE,legacy,active,api_key,nominee_details|ifsc_code|transaction_id|account_number,1,1,2026-05-18,5676,2023-06-15,2024-11-25,vivek.gupta,Analytics,prod,fix auth bug,54,0,Active,7,High,No action needed — healthy endpoint,nominee_details|account_number,vivek.gupta,2024-10-30,fix auth bug,Active,0.983,33.6,57.1,1
UBI-API-0037,/api/v3/notifications/approve,PUT,legacy,borderline,basic_auth,loan_amount,0,1,2026-03-20,8141,2022-10-24,2025-06-25,deepak.nair,Core Banking,prod,merge feature branch,30,0,Borderline,66,Medium,Monitor closely — review with team within 7 days,,deepak.nair,2025-06-09,merge feature branch,Borderline,0.892,57.9,61.7,1
UBI-API-0038,/legacy/v1/accounts/get,PUT,v3,zombie,api_key,pan_number|address|amount|credit_score,1,1,2025-02-27,0,2024-01-04,2024-10-07,meera.krishnan,Digital Channels,prod,merge feature branch,74,0,Zombie,452,High,"Schedule decommission — raise Jira ticket, notify owner",pan_number|credit_score,meera.krishnan,2024-09-18,merge feature branch,Zombie,0.975,28.8,58.4,1
UBI-API-0039,/api/v2/transactions/approve,POST,v3,shadow,oauth2,interest_rate,0,0,2026-04-07,39,2024-10-08,2026-03-29,priya.iyer,Payments,prod,refactor logic,25,0,Shadow,48,Medium,"Immediate audit — undocumented endpoint, document or block",,priya.iyer,2026-03-23,refactor logic,Shadow,1.0,54.8,62.4,1
UBI-API-0040,/api/v3/transactions/update,PUT,v1,active,api_key,phone|address|account_number,1,1,2026-05-07,8142,2023-02-07,2023-10-23,meera.krishnan,Payments,prod,initial commit,39,0,Active,18,Medium,No action needed — healthy endpoint,account_number,meera.krishnan,2023-10-11,initial commit,Active,0.942,21.2,46.7,1
UBI-API-0041,/api/v1/accounts/fetch,PUT,v1,active,jwt,employee_id|transaction_id|phone|balance,1,1,2026-05-12,9553,2024-03-22,2024-06-05,sneha.patel,Analytics,staging,add endpoint,23,0,Active,13,Low,No action needed — healthy endpoint,balance,sneha.patel,2024-05-22,add endpoint,Active,0.983,38.7,53.4,1
UBI-API-0042,/api/v1/payments/create,PATCH,v2,active,oauth2,pan_number,1,1,2026-04-30,7481,2024-05-24,2025-06-17,rohit.verma,Digital Channels,staging,update docs,20,0,Active,25,Low,No action needed — healthy endpoint,pan_number,rohit.verma,2025-05-30,update docs,Active,0.942,43.4,54.0,1
UBI-API-0043,/legacy/v1/statements/fetch,DELETE,v2,active,oauth2,upi_id|balance|name|aadhaar_number|loan_amount,1,1,2026-05-19,2664,2024-07-23,2024-10-07,sneha.patel,Security,prod,fix auth bug,37,0,Active,6,Medium,No action needed — healthy endpoint,aadhaar_number|balance,sneha.patel,2024-09-27,fix auth bug,Active,0.867,38.5,52.6,1
UBI-API-0044,/api/v1/upi/validate,PATCH,v2,active,jwt,balance|pan_number|address,1,1,2026-04-25,3341,2022-12-12,2026-04-02,sneha.patel,Security,staging,add endpoint,44,0,Borderline,30,Medium,Monitor closely — review with team within 7 days,pan_number|balance,sneha.patel,2026-03-10,add endpoint,Borderline,0.775,32.3,48.2,1
UBI-API-0045,/legacy/v1/transactions/sync,POST,v3,active,mtls,dob|email,1,1,2026-05-10,5082,2022-02-28,2024-10-14,rohit.verma,Core Banking,prod,deprecation notice added,17,0,Active,15,Low,No action needed — healthy endpoint,dob,rohit.verma,2024-09-14,deprecation notice added,Active,0.958,11.9,38.1,1
UBI-API-0046,/legacy/v1/credit-score/sync,PATCH,v2,zombie,jwt,customer_id|balance|branch_id|transaction_id,1,1,2024-07-13,0,2024-10-03,2024-10-24,suresh.bose,KYC & Compliance,prod,add endpoint,47,1,Zombie,681,Medium,"Schedule decommission — raise Jira ticket, notify owner",balance,suresh.bose,2024-09-29,add endpoint,Zombie,1.0,50.2,64.5,1
UBI-API-0047,/api/v3/reports/list,POST,v3,zombie,jwt,employee_id|dob|phone|branch_id|credit_score,1,1,2025-03-31,0,2025-03-22,2025-05-14,rohit.verma,Loans,prod,merge feature branch,59,1,Zombie,420,High,"Schedule decommission — raise Jira ticket, notify owner",dob|credit_score,rohit.verma,2025-04-30,merge feature branch,Zombie,1.0,45.8,64.7,1
UBI-API-0048,/api/v3/upi/approve,DELETE,legacy,zombie,oauth2,interest_rate|balance|employee_id|customer_id,1,1,2024-09-14,0,2021-06-21,2025-02-26,arjun.mehta,KYC & Compliance,prod,add endpoint,42,1,Zombie,618,Medium,"Schedule decommission — raise Jira ticket, notify owner",balance,arjun.mehta,2025-02-25,add endpoint,Zombie,0.992,63.0,69.6,1
UBI-API-0049,/legacy/v1/upi/list,POST,v2,active,basic_auth,upi_id|credit_score|employee_id,1,1,2026-04-25,8041,2023-01-29,2025-07-14,ananya.sharma,Payments,prod,add rate limiting,42,0,Borderline,30,Medium,Monitor closely — review with team within 7 days,credit_score,ananya.sharma,2025-06-17,add rate limiting,Borderline,0.867,14.9,41.8,1
UBI-API-0050,/api/v1/accounts/submit,PATCH,v2,active,api_key,address|interest_rate,0,1,2026-04-28,2024,2022-02-06,2024-09-08,ananya.sharma,Digital Channels,staging,add endpoint,33,0,Active,27,Medium,No action needed — healthy endpoint,,ananya.sharma,2024-09-02,add endpoint,Active,0.992,28.4,50.6,1
UBI-API-0051,/api/v2/branch/approve,PUT,legacy,borderline,basic_auth,branch_id|credit_score|nominee_details,1,1,2026-04-12,2336,2024-10-28,2026-04-01,deepak.nair,Loans,dev,fix auth bug,54,0,Borderline,43,High,Monitor closely — review with team within 7 days,nominee_details|credit_score,deepak.nair,2026-03-24,fix auth bug,Borderline,0.558,34.5,44.8,1
UBI-API-0052,/api/v1/credit-score/verify,PUT,legacy,zombie,basic_auth,account_number|address|nominee_details,1,1,2024-08-20,0,2024-03-06,2025-02-22,suresh.bose,Digital Channels,staging,fix auth bug,69,0,Zombie,643,High,"Schedule decommission — raise Jira ticket, notify owner",account_number|nominee_details,suresh.bose,2025-01-29,fix auth bug,Zombie,0.983,47.9,67.2,1
UBI-API-0053,/internal/v1/rtgs/validate,PUT,v3,active,api_key,nominee_details|ifsc_code,1,1,2026-05-01,6346,2024-02-12,2026-02-03,deepak.nair,Analytics,staging,initial commit,41,0,Active,24,Medium,No action needed — healthy endpoint,nominee_details,deepak.nair,2026-01-13,initial commit,Active,0.992,33.7,54.8,1
UBI-API-0054,/legacy/v1/payments/validate,GET,legacy,zombie,api_key,nominee_details|transaction_id|name|employee_id|interest_rate,1,1,2025-09-17,0,2021-11-19,2024-07-07,meera.krishnan,Loans,prod,fix auth bug,62,1,Zombie,250,High,"Schedule decommission — raise Jira ticket, notify owner",nominee_details,meera.krishnan,2024-07-06,fix auth bug,Zombie,0.992,56.1,70.2,1
UBI-API-0055,/api/v3/beneficiaries/fetch,DELETE,v1,active,mtls,transaction_id,0,1,2026-05-05,4808,2021-11-06,2023-03-01,meera.krishnan,Loans,prod,refactor logic,6,0,Active,20,Low,No action needed — healthy endpoint,,meera.krishnan,2023-02-05,refactor logic,Active,0.925,34.1,46.0,1
UBI-API-0056,/api/v2/loans/verify,GET,v1,active,mtls,employee_id,0,1,2026-05-14,5973,2021-10-11,2023-06-03,priya.iyer,Security,prod,initial commit,5,0,Active,11,Low,No action needed — healthy endpoint,,priya.iyer,2023-05-08,initial commit,Active,0.8,50.9,50.4,1
UBI-API-0057,/api/v3/upi/create,POST,v2,zombie,basic_auth,nominee_details|phone|upi_id|interest_rate,1,1,2024-10-01,0,2024-09-25,2025-02-18,rohit.verma,Digital Channels,staging,update docs,57,0,Zombie,601,High,"Schedule decommission — raise Jira ticket, notify owner",nominee_details,rohit.verma,2025-01-21,update docs,Zombie,1.0,35.6,59.2,1
UBI-API-0058,/api/v3/ifsc/delete,GET,legacy,zombie,jwt,interest_rate|phone|customer_id,0,1,2025-06-11,0,2024-01-10,2024-11-14,vivek.gupta,KYC & Compliance,dev,deprecation notice added,35,0,Zombie,348,Medium,"Schedule decommission — raise Jira ticket, notify owner",,ananya.sharma,2024-12-17,initial commit,Zombie,0.992,39.6,56.6,1
UBI-API-0059,/legacy/v1/branch/get,POST,v1,active,jwt,amount|nominee_details|address|interest_rate|account_number,1,1,2026-04-25,4789,2024-11-11,2026-04-03,kavya.reddy,KYC & Compliance,prod,update docs,44,0,Borderline,30,Medium,Monitor closely — review with team within 7 days,account_number|nominee_details,sneha.patel,2025-06-16,refactor logic,Borderline,0.825,14.7,40.9,1
UBI-API-0060,/api/v2/notifications/export,POST,v3,zombie,mtls,upi_id|dob,1,1,2024-11-28,0,2021-08-26,2024-11-24,priya.iyer,Security,prod,initial commit,37,0,Zombie,543,Medium,"Schedule decommission — raise Jira ticket, notify owner",dob,priya.iyer,2024-11-19,initial commit,Zombie,0.975,46.9,60.1,1
UBI-API-0061,/api/v2/loans/delete,PUT,v3,active,mtls,phone|aadhaar_number|email|amount,1,1,2026-04-25,5649,2024-03-01,2024-12-28,meera.krishnan,Digital Channels,prod,fix auth bug,22,0,Borderline,30,Low,Monitor closely — review with team within 7 days,aadhaar_number,vivek.gupta,2024-10-30,fix auth bug,Borderline,0.65,14.6,31.2,1
UBI-API-0062,/api/v1/ifsc/get,POST,legacy,active,api_key,interest_rate|amount|customer_id|ifsc_code,0,1,2026-05-13,4395,2025-03-27,2026-04-14,ananya.sharma,KYC & Compliance,dev,add endpoint,31,0,Active,12,Medium,No action needed — healthy endpoint,,ananya.sharma,2026-03-25,add endpoint,Active,0.975,51.9,61.4,1
UBI-API-0063,/internal/v1/rtgs/submit,PUT,v2,active,none,credit_score|account_number,1,1,2026-05-04,7706,2021-10-26,2025-05-19,suresh.bose,Digital Channels,prod,update docs,67,0,Active,21,High,No action needed — healthy endpoint,account_number|credit_score,suresh.bose,2025-04-30,update docs,Active,0.992,19.4,52.8,1
UBI-API-0064,/api/v3/upi/get,POST,v2,zombie,none,address,0,1,2025-01-21,0,2024-01-04,2025-01-17,vivek.gupta,Core Banking,prod,update response schema,65,1,Zombie,489,High,"Schedule decommission — raise Jira ticket, notify owner",,vivek.gupta,2024-12-20,update response schema,Zombie,0.992,100.0,92.8,1
UBI-API-0065,/internal/v1/upi/fetch,POST,v3,shadow,jwt,credit_score,1,0,2026-05-10,16,2023-12-14,2025-03-13,suresh.bose,Loans,prod,initial commit,42,0,Shadow,15,Medium,"Immediate audit — undocumented endpoint, document or block",credit_score,ananya.sharma,2026-04-05,merge feature branch,Shadow,0.958,51.9,63.1,1
UBI-API-0066,/api/v3/transactions/submit,PUT,v2,active,basic_auth,balance|ifsc_code|dob,1,1,2026-05-04,449,2025-01-18,2025-11-19,deepak.nair,Core Banking,staging,add endpoint,54,0,Active,21,High,No action needed — healthy endpoint,balance|dob,deepak.nair,2025-11-17,add endpoint,Active,0.967,28.8,54.2,1
UBI-API-0067,/api/v1/beneficiaries/update,POST,v3,shadow,basic_auth,customer_id|interest_rate,0,0,2026-04-04,1,2022-04-17,2025-08-19,deepak.nair,Digital Channels,prod,update response schema,40,0,Shadow,51,Medium,"Immediate audit — undocumented endpoint, document or block",,deepak.nair,2025-08-16,update response schema,Shadow,0.833,63.3,64.6,1
UBI-API-0068,/api/v3/payments/create,PATCH,v3,active,oauth2,name|account_number,1,1,2026-05-24,958,2022-06-10,2023-12-05,priya.iyer,Core Banking,prod,update response schema,27,0,Active,1,Medium,No action needed — healthy endpoint,account_number,priya.iyer,2023-11-27,update response schema,Active,1.0,14.3,42.6,1
UBI-API-0069,/api/v2/upi/sync,GET,v1,borderline,mtls,credit_score,1,1,2026-03-27,810,2024-04-15,2024-11-27,vivek.gupta,Analytics,prod,add rate limiting,22,0,Borderline,59,Low,Monitor closely — review with team within 7 days,credit_score,vivek.gupta,2024-11-26,add rate limiting,Borderline,0.958,36.0,51.2,1
UBI-API-0070,/internal/v1/statements/validate,GET,v2,active,none,ifsc_code|branch_id|name|credit_score,1,1,2026-05-22,9690,2022-03-04,2023-09-18,vivek.gupta,Core Banking,prod,hotfix prod issue,53,0,Active,3,High,No action needed — healthy endpoint,credit_score,vivek.gupta,2023-09-08,hotfix prod issue,Active,1.0,35.8,58.5,1
UBI-API-0071,/internal/v1/beneficiaries/verify,PATCH,v2,active,basic_auth,employee_id|loan_amount|branch_id,0,1,2026-05-11,6879,2023-12-30,2024-08-19,rohit.verma,Analytics,prod,add rate limiting,24,0,Active,14,Low,No action needed — healthy endpoint,,rohit.verma,2024-08-14,add rate limiting,Active,0.933,44.6,55.1,1
UBI-API-0072,/api/v3/ifsc/verify,DELETE,v2,borderline,mtls,transaction_id,0,1,2026-03-12,1594,2024-02-15,2024-04-23,kavya.reddy,KYC & Compliance,prod,hotfix prod issue,10,0,Borderline,74,Low,Monitor closely — review with team within 7 days,,kavya.reddy,2024-04-09,hotfix prod issue,Borderline,0.908,38.0,48.2,1
UBI-API-0073,/api/v1/loans/verify,GET,v1,zombie,mtls,email|interest_rate|balance,1,1,2024-12-29,0,2023-06-13,2025-10-26,suresh.bose,Digital Channels,dev,hotfix prod issue,37,1,Zombie,512,Medium,"Schedule decommission — raise Jira ticket, notify owner",balance,suresh.bose,2025-09-29,hotfix prod issue,Zombie,1.0,83.2,79.0,1
UBI-API-0074,/api/v1/statements/fetch,PUT,v2,borderline,oauth2,nominee_details,1,1,2026-03-01,9213,2022-01-26,2024-01-13,meera.krishnan,Payments,prod,refactor logic,27,0,Borderline,85,Medium,Monitor closely — review with team within 7 days,nominee_details,meera.krishnan,2024-01-08,refactor logic,Borderline,0.917,53.4,59.6,1
UBI-API-0075,/api/v3/transactions/delete,PATCH,v3,zombie,api_key,interest_rate|upi_id|account_number|dob,1,1,2025-02-28,0,2021-07-01,2022-07-07,ananya.sharma,Payments,prod,deprecation notice added,74,1,Zombie,451,High,"Schedule decommission — raise Jira ticket, notify owner",account_number|dob,ananya.sharma,2022-06-14,deprecation notice added,Zombie,0.992,50.7,69.9,1
UBI-API-0076,/internal/v1/rtgs/get,POST,legacy,shadow,mtls,customer_id,0,0,2026-05-02,20,2022-05-07,2024-06-02,meera.krishnan,Payments,staging,merge feature branch,20,0,Shadow,23,Low,"Immediate audit — undocumented endpoint, document or block",,meera.krishnan,2024-05-18,merge feature branch,Shadow,0.992,69.0,68.2,1
UBI-API-0077,/api/v3/reports/fetch,GET,legacy,active,none,phone|balance,1,1,2026-05-05,4575,2023-12-11,2025-02-07,rohit.verma,KYC & Compliance,staging,merge feature branch,58,0,Active,20,High,No action needed — healthy endpoint,balance,rohit.verma,2025-01-19,merge feature branch,Active,0.992,34.3,58.5,1
